event_id,type,cluster_id,cluster_label,is_noise,is_quasi_dup
698b35e78f03efde04a87998,Thing/Abstract/Event/Win,643,droite | gauche | maire,False,False
698b35e98f03efde04a8799a,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,247,mettent | banque | péril,False,False
698b35e98f03efde04a8799b,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,247,mettent | banque | péril,False,False
698b35e98f03efde04a8799c,Thing/Abstract/Event/Build,-1,non-clustere,True,False
698b35e98f03efde04a8799d,Thing/Abstract/Event/Addition,-1,non-clustere,True,False
698b35ea8f03efde04a8799f,Thing/Abstract/Event/Hold,595,presse | appel | cadre,False,True
698b35ea8f03efde04a879a0,Thing/Abstract/Event/Communication,595,presse | appel | cadre,False,True
698b35ea8f03efde04a879a1,Thing/Abstract/Event/Confess,416,ailleurs | reconnu | huit,False,True
698b35ea8f03efde04a879a2,Thing/Abstract/Event/Own,416,ailleurs | reconnu | huit,False,True
698b35ea8f03efde04a879a3,Thing/Abstract/Event/Own,416,ailleurs | reconnu | huit,False,True
698b35ea8f03efde04a879a4,Thing/Abstract/Event/Complete,416,ailleurs | reconnu | huit,False,True
698b35ed8f03efde04a879a6,Thing/Abstract/Event/Assessment,111,contrôle | mesures | cisjordanie,False,False
698b35ed8f03efde04a879a7,Thing/Abstract/Event/Facilitate,111,contrôle | mesures | cisjordanie,False,False
698b35ed8f03efde04a879a8,Thing/Abstract/Event/Extend,111,contrôle | mesures | cisjordanie,False,False
698b35ed8f03efde04a879a9,Thing/Abstract/Event/Help,111,contrôle | mesures | cisjordanie,False,False
698b35ed8f03efde04a879aa,Thing/Abstract/Event/Addition,111,contrôle | mesures | cisjordanie,False,False
698b35ed8f03efde04a879ac,Thing/Abstract/Event/Give,456,sont | milliers | électricité,False,False
698b35ed8f03efde04a879ad,Thing/Abstract/Event/Hurt,34,plusieurs | drone | frappe,False,False
698b35ed8f03efde04a879ae,Thing/Abstract/Event/Attack/BombingAttack,34,plusieurs | drone | frappe,False,False
698b35ed8f03efde04a879af,Thing/Abstract/Event/Addition,34,plusieurs | drone | frappe,False,False
698b35ed8f03efde04a879b1,Thing/Abstract/Event/Continue,186,milan | cortina | jeux,False,True
698b35ed8f03efde04a879b2,Thing/Abstract/Event,-1,non-clustere,True,True
698b35ed8f03efde04a879b3,Thing/Abstract/Event/Own,186,milan | cortina | jeux,False,True
698b35ed8f03efde04a879b4,Thing/Abstract/Event/Unknown,-1,non-clustere,True,False
698b35ef8f03efde04a879b6,Thing/Abstract/Event/Force,536,monde | démission | institut,False,False
698b35ef8f03efde04a879b7,Thing/Abstract/Event/Own,536,monde | démission | institut,False,False
698b35ef8f03efde04a879b8,Thing/Abstract/Event/Embody,536,monde | démission | institut,False,False
698b35ef8f03efde04a879b9,Thing/Abstract/Event/Fulfilling,536,monde | démission | institut,False,False
698b35ef8f03efde04a879ba,Thing/Abstract/Event/Locatedat,507,loire | deux | associé,False,False
698b35ef8f03efde04a879bc,Thing/Abstract/Event/Put,165,civilea | compagnies | aviation,False,False
698b35ef8f03efde04a879bd,Thing/Abstract/Event/Partof,165,civilea | compagnies | aviation,False,False
698b35ef8f03efde04a879be,Thing/Abstract/Event/Arrest/CriminalArrest,165,civilea | compagnies | aviation,False,False
698b35ef8f03efde04a879bf,Thing/Abstract/Event/Order,-1,non-clustere,True,False
698b35f18f03efde04a879c1,Thing/Abstract/Event/Unknown,621,pib | taux | inflation,False,False
698b35f18f03efde04a879c2,Thing/Abstract/Event/Put,621,pib | taux | inflation,False,False
698b35f18f03efde04a879c3,Thing/Abstract/Event/Unknown,621,pib | taux | inflation,False,False
698b35f18f03efde04a879c4,Thing/Abstract/Event/Fit,621,pib | taux | inflation,False,False
698b35f18f03efde04a879c5,Thing/Abstract/Event/Assessment,621,pib | taux | inflation,False,False
698b35f18f03efde04a879c6,Thing/Abstract/Event/Unknown,621,pib | taux | inflation,False,False
698b35f18f03efde04a879c7,Thing/Abstract/Event/Order,-1,non-clustere,True,False
698b35f18f03efde04a879c8,Thing/Abstract/Event/Addition,621,pib | taux | inflation,False,False
698b35f28f03efde04a879ca,Thing/Abstract/Event/Organise,573,face | énergie | pouvoir,False,False
698b35f28f03efde04a879cb,Thing/Abstract/Event/Protect,573,face | énergie | pouvoir,False,False
698b35f28f03efde04a879cc,Thing/Abstract/Event/Get,573,face | énergie | pouvoir,False,False
698b35f38f03efde04a879ce,Thing/Abstract/Event/Complain,-1,non-clustere,True,False
698b35f38f03efde04a879cf,Thing/Abstract/Event/Target,566,location | difficultés | embouteillage,False,False
698b35f38f03efde04a879d0,Thing/Abstract/Event/Fail,566,location | difficultés | embouteillage,False,False
698b35f38f03efde04a879d1,Thing/Abstract/Event/Sustain,566,location | difficultés | embouteillage,False,False
698b35f38f03efde04a879d2,Thing/Abstract/Event/Move,566,location | difficultés | embouteillage,False,False
698b35f38f03efde04a879d3,Thing/Abstract/Event/Partof,566,location | difficultés | embouteillage,False,False
698b35f48f03efde04a879d5,Thing/Abstract/Event/Move,622,ministre | celui | fin,False,False
698b35f48f03efde04a879d6,Thing/Abstract/Event/Own,-1,non-clustere,True,False
698b35f48f03efde04a879d7,Thing/Abstract/Event/Unknown,-1,non-clustere,True,False
698b35f48f03efde04a879d8,Thing/Abstract/Event/Investigation/CriminalInvestigation,620,difficulté | qu | service,False,False
698b35f48f03efde04a879d9,Thing/Abstract/Event/Crisis,620,difficulté | qu | service,False,False
698b35f48f03efde04a879da,Thing/Abstract/Event/Own,620,difficulté | qu | service,False,False
698b35f48f03efde04a879db,Thing/Abstract/Event/Transfer,620,difficulté | qu | service,False,False
698b35f48f03efde04a879dc,Thing/Abstract/Event/Fulfilling,620,difficulté | qu | service,False,False
698b35f48f03efde04a879de,Thing/Abstract/Event/Destroy,485,pairs | conseil | national,False,False
698b35f48f03efde04a879df,Thing/Abstract/Event/Transfer,485,pairs | conseil | national,False,False
698b35f48f03efde04a879e0,Thing/Abstract/Event/Unknown,485,pairs | conseil | national,False,False
698b35f48f03efde04a879e1,Thing/Abstract/Event/Turn,485,pairs | conseil | national,False,False
698b35f48f03efde04a879e2,Thing/Abstract/Event/Conjecture,485,pairs | conseil | national,False,False
698b35f58f03efde04a879e3,Thing/Abstract/Event/Addition,485,pairs | conseil | national,False,False
698b35f58f03efde04a879e5,Thing/Abstract/Event/Threaten,255,essentielles | risques | croissants,False,False
698b35f58f03efde04a879e6,Thing/Abstract/Event/Operate,255,essentielles | risques | croissants,False,False
698b35f68f03efde04a879e7,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,255,essentielles | risques | croissants,False,False
698b35f68f03efde04a879e9,Thing/Abstract/Event/Attack/OtherAttack,143,sol | arbres | voyage,False,False
698b35f68f03efde04a879ea,Thing/Abstract/Event/Unknown,143,sol | arbres | voyage,False,False
698b35f68f03efde04a879eb,Thing/Abstract/Event/Addition,143,sol | arbres | voyage,False,False
698b35f68f03efde04a879ed,Thing/Abstract/Event/Killing,-1,non-clustere,True,False
698b35f68f03efde04a879ee,Thing/Abstract/Event/Hire,-1,non-clustere,True,False
698b35f68f03efde04a879ef,Thing/Abstract/Event/Open,-1,non-clustere,True,False
698b35f68f03efde04a879f1,Thing/Abstract/Event/Mix,142,dispositif | sera | encadrée,False,False
698b35f68f03efde04a879f2,Thing/Abstract/Event/Close,142,dispositif | sera | encadrée,False,False
698b35f68f03efde04a879f3,Thing/Abstract/Event/Accompany,142,dispositif | sera | encadrée,False,False
698b35f68f03efde04a879f4,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,142,dispositif | sera | encadrée,False,False
698b35f68f03efde04a879f5,Thing/Abstract/Event/Addition,142,dispositif | sera | encadrée,False,False
698b35f68f03efde04a879f7,Thing/Abstract/Event/Attend,301,emmanuel | macron | président,False,False
698b35f68f03efde04a879f8,Thing/Abstract/Event/Show,301,emmanuel | macron | président,False,False
698b35f78f03efde04a879fa,Thing/Abstract/Event/Discover,120,produits | multiples | vulnérabilités,False,True
698b35f78f03efde04a879fb,Thing/Abstract/Event/Engender,120,produits | multiples | vulnérabilités,False,True
698b35f78f03efde04a879fc,Thing/Abstract/Event/Unknown,6,éditeur | sécurité | non,False,True
698b35f78f03efde04a879fe,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,-1,non-clustere,True,False
698b35f88f03efde04a879ff,Thing/Abstract/Event/Put,-1,non-clustere,True,False
698b35f88f03efde04a87a00,Thing/Abstract/Event/StateRepression,-1,non-clustere,True,False
698b35fa8f03efde04a87a02,Thing/Abstract/Event/Lodge,545,élus | locaux | proposent,False,False
698b35fa8f03efde04a87a03,Thing/Abstract/Event/Advise,545,élus | locaux | proposent,False,False
698b35fa8f03efde04a87a04,Thing/Abstract/Event/Own,545,élus | locaux | proposent,False,False
698b35fa8f03efde04a87a05,Thing/Abstract/Event/Ensure,546,habitants | maires | inhérents,False,False
698b35fb8f03efde04a87a07,Thing/Abstract/Event/Partof,150,paris | ligue | germain,False,True
698b35fb8f03efde04a87a08,Thing/Abstract/Event/Partof,150,paris | ligue | germain,False,True
698b35fb8f03efde04a87a09,Thing/Abstract/Event/Invite,150,paris | ligue | germain,False,False
698b35fb8f03efde04a87a0a,Thing/Abstract/Event/Own,150,paris | ligue | germain,False,False
698b35fb8f03efde04a87a0b,Thing/Abstract/Event/Conduct,-1,non-clustere,True,False
698b36008f03efde04a87a0d,Thing/Abstract/Event/Unknown,379,salle | réalisateur | 4mars,False,False
698b36008f03efde04a87a0e,Thing/Abstract/Event/Unknown,379,salle | réalisateur | 4mars,False,False
698b36008f03efde04a87a0f,Thing/Abstract/Event/Discover,379,salle | réalisateur | 4mars,False,False
698b36038f03efde04a87a11,Thing/Abstract/Event/Assuming,-1,non-clustere,True,False
698b36038f03efde04a87a12,Thing/Abstract/Event/Unknown,-1,non-clustere,True,False
698b36038f03efde04a87a13,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,-1,non-clustere,True,False
698b36038f03efde04a87a14,Thing/Abstract/Event/Limit,-1,non-clustere,True,False
698b36038f03efde04a87a16,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,337,zelensky | va | président,False,False
698b36038f03efde04a87a17,Thing/Abstract/Event/Own,337,zelensky | va | président,False,False
698b36038f03efde04a87a18,Thing/Abstract/Event/Wear,24,ukrainien | casque | olympique,False,False
698b36038f03efde04a87a19,Thing/Abstract/Event/Killing,24,ukrainien | casque | olympique,False,False
698b36038f03efde04a87a1a,Thing/Abstract/Event/Unknown,24,ukrainien | casque | olympique,False,False
698b36038f03efde04a87a1b,Thing/Abstract/Event/Put,24,ukrainien | casque | olympique,False,False
698b36038f03efde04a87a1c,Thing/Abstract/Event/War,24,ukrainien | casque | olympique,False,False
698b36048f03efde04a87a1e,Thing/Abstract/Event/Cross,190,cuba | crise | énergétique,False,False
698b36048f03efde04a87a1f,Thing/Abstract/Event/Crisis,190,cuba | crise | énergétique,False,False
698b36048f03efde04a87a20,Thing/Abstract/Event/Own,190,cuba | crise | énergétique,False,False
698b36048f03efde04a87a21,Thing/Abstract/Event/Operate,534,anarchiques | extractions | faudra,False,False
698b36048f03efde04a87a22,Thing/Abstract/Event/Delay,-1,non-clustere,True,False
698b36048f03efde04a87a23,Thing/Abstract/Event/Move,534,anarchiques | extractions | faudra,False,False
698b36048f03efde04a87a24,Thing/Abstract/Event/Fulfilling,-1,non-clustere,True,False
698b36048f03efde04a87a26,Thing/Abstract/Event/Math,107,mesures | annonces | international,False,True
698b36048f03efde04a87a27,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,107,mesures | annonces | international,False,True
698b36048f03efde04a87a28,Thing/Abstract/Event/DiplomaticEvent/Expulsion,107,mesures | annonces | international,False,True
698b36048f03efde04a87a29,Thing/Abstract/Event/Reinforce,108,israël | mesures | communauté,False,True
698b36048f03efde04a87a2a,Thing/Abstract/Event/Own,111,contrôle | mesures | cisjordanie,False,True
698b36048f03efde04a87a2b,Thing/Abstract/Event/Hate,111,contrôle | mesures | cisjordanie,False,True
698b36048f03efde04a87a2c,Thing/Abstract/Event/Lodge,111,contrôle | mesures | cisjordanie,False,True
698b36068f03efde04a87a2e,Thing/Abstract/Event/Lodge,545,élus | locaux | proposent,False,False
698b36068f03efde04a87a2f,Thing/Abstract/Event/Forbid,545,élus | locaux | proposent,False,False
698b36078f03efde04a87a30,Thing/Abstract/Event/Own,545,élus | locaux | proposent,False,False
698b36078f03efde04a87a32,Thing/Abstract/Event/Investigation/CriminalInvestigation,458,ont | personnes | interpellées,False,False
698b36078f03efde04a87a33,Thing/Abstract/Event/Show,458,ont | personnes | interpellées,False,False
698b36078f03efde04a87a34,Thing/Abstract/Event/Judgment,458,ont | personnes | interpellées,False,False
698b36078f03efde04a87a35,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,458,ont | personnes | interpellées,False,False
698b36078f03efde04a87a36,Thing/Abstract/Event/Transfer,465,interpellé | français | annoncé,False,False
698b36078f03efde04a87a37,Thing/Abstract/Event/Addition,458,ont | personnes | interpellées,False,False
698b36078f03efde04a87a38,Thing/Abstract/Event/Addition,465,interpellé | français | annoncé,False,False
698b360b8f03efde04a87a3a,Thing/Abstract/Event/Cooking,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a3b,Thing/Abstract/Event/Leak,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a3c,Thing/Abstract/Event/Block,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a3d,Thing/Abstract/Event/Order,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a3e,Thing/Abstract/Event/Judgment,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a3f,Thing/Abstract/Event/Move,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a40,Thing/Abstract/Event/Leave,219,président | ordonné | sanctions,False,False
698b360b8f03efde04a87a41,Thing/Abstract/Event/Alternative,219,président | ordonné | sanctions,False,False
698b360c8f03efde04a87a43,Thing/Abstract/Event/Own,-1,non-clustere,True,False
698b360c8f03efde04a87a44,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,-1,non-clustere,True,False
698b360c8f03efde04a87a45,Thing/Abstract/Event/Conjecture,-1,non-clustere,True,False
698b360c8f03efde04a87a46,Thing/Abstract/Event/Involve,147,services | renseignement | incident,False,False
698b360c8f03efde04a87a47,Thing/Abstract/Event,147,services | renseignement | incident,False,False
698b360c8f03efde04a87a48,Thing/Abstract/Event/Investigation/CriminalInvestigation,147,services | renseignement | incident,False,False
698b360c8f03efde04a87a49,Thing/Abstract/Event/Accompany,147,services | renseignement | incident,False,False
698b360c8f03efde04a87a4b,Thing/Abstract/Event/Unknown,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a4c,Thing/Abstract/Event/Own,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a4d,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a4e,Thing/Abstract/Event/Own,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a4f,Thing/Abstract/Event/Unknown,-1,non-clustere,True,False
698b360c8f03efde04a87a50,Thing/Abstract/Event/Free,-1,non-clustere,True,False
698b360c8f03efde04a87a51,Thing/Abstract/Event/Move,-1,non-clustere,True,False
698b360c8f03efde04a87a52,Thing/Abstract/Event/Addition,-1,non-clustere,True,True
698b360c8f03efde04a87a53,Thing/Abstract/Event/Addition,-1,non-clustere,True,True
698b360c8f03efde04a87a55,Thing/Abstract/Event/Interrogate,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a56,Thing/Abstract/Event/Transfer,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a57,Thing/Abstract/Event/Engender,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a58,Thing/Abstract/Event/Engender,591,affaire | epstein | jeffrey,False,False
698b360c8f03efde04a87a59,Thing/Abstract/Event/Own,485,pairs | conseil | national,False,False
698b360d8f03efde04a87a5b,Thing/Abstract/Event/Threat,-1,non-clustere,True,False
698b360d8f03efde04a87a5c,Thing/Abstract/Event/Partof,-1,non-clustere,True,False
698b360d8f03efde04a87a5d,Thing/Abstract/Event/Build,-1,non-clustere,True,False
698b360d8f03efde04a87a5e,Thing/Abstract/Event/Order,277,unis | états | négociations,False,False
698b360d8f03efde04a87a5f,Thing/Abstract/Event/Estimate,276,accord | uni | signée,False,False
698b360d8f03efde04a87a60,Thing/Abstract/Event/Admit,-1,non-clustere,True,False
698b360d8f03efde04a87a62,Thing/Abstract/Event/Get,-1,non-clustere,True,False
698b360d8f03efde04a87a63,Thing/Abstract/Event/Unknown,-1,non-clustere,True,False
698b360d8f03efde04a87a64,Thing/Abstract/Event/Use,-1,non-clustere,True,False
698b360d8f03efde04a87a65,Thing/Abstract/Event/Move,-1,non-clustere,True,False
698b360d8f03efde04a87a66,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,-1,non-clustere,True,False
698b360d8f03efde04a87a68,Thing/Abstract/Event/Build,558,utilisateurs | jeunes | procès,False,False
698b360d8f03efde04a87a69,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,558,utilisateurs | jeunes | procès,False,False
